"ID"	"CAPACITY"
"1"	"35"
"2"	"5"
"3"	"31"
"4"	"23"
"5"	"45"
"6"	"60"
"7"	"90"
"8"	"70"
"9"	"69"
"10"	"94"
"11"	"98"
"12"	"98"
"13"	"26"
"14"	"40"
"15"	"47"
"16"	"7"
"17"	"94"
"18"	"52"
"19"	"17"
"20"	"38"
"21"	"30"
"22"	"77"
"23"	"51"
"24"	"16"
"25"	"2"
"26"	"60"
"27"	"48"
"28"	"70"
"29"	"52"
"30"	"14"
"31"	"17"
"32"	"75"
"33"	"48"
"34"	"7"
"35"	"65"
"36"	"74"
"37"	"19"
"38"	"68"
"39"	"21"
"40"	"21"
"41"	"64"
"42"	"21"
"43"	"55"
"44"	"34"
"45"	"63"
"46"	"48"
"47"	"87"
"48"	"62"
"49"	"26"
"50"	"8"
"51"	"83"
"52"	"56"
"53"	"51"
"54"	"1"
"55"	"73"
"56"	"39"
"57"	"93"
"58"	"72"
"59"	"93"
"60"	"62"
"61"	"1"
"62"	"5"
"63"	"3"
"64"	"2"
"65"	"6"
"66"	"1"
"67"	"3"
"68"	"5"
"69"	"1"
"70"	"2"
"71"	"2"
"72"	"2"
"73"	"2"
"74"	"2"
"75"	"2"
"76"	"3"
"77"	"3"
"78"	"1"
"79"	"1"
"80"	"4"
"81"	"2"
"82"	"52"
"83"	"38"
"84"	"15"
"85"	"26"
"86"	"9"
"87"	"48"
"88"	"79"
"89"	"89"
"90"	"6"
"91"	"42"
"92"	"95"
"93"	"9"
"94"	"17"
"95"	"72"
"96"	"66"
"97"	"44"
"98"	"29"
"99"	"59"
"100"	"64"
"121"	"5"
"151"	"4"
